ProductID;Title;Category;Stock;Available;LOT;Pcs;AgeInDays;COGS;Excise;CPU;Total;GrandTotal
1022807;Aivy Blue Triple Grain Vodka;;1;;10/11/2021;1;85;12,122;3,696;0;15,818;15,82
1007930;Alipus San Andres Mezcal;;6;;14/12/2020;6;416;36,423;4,352;0;40,775;244,65
1012718;Ararat Akhtamar 10 Year Old;;3;;23/11/2021;3;72;18,8919;3,696;0,4264;23,0143;69,04
1023805;Arehucas Añejo Reserva Especial 18 Year Old Rum;;2;;07/09/2021;2;149;27,1817;3,696;0,6937;31,5714;63,14
1000038;Arran 10 Year Old Whisky;;8;;24/11/2021;2;71;18,4667;4,2504;0,4184;23,1355;185,08
1004173;Bain's Cape Mountain Single Grain Whisky;;8;;28/12/2021;8;37;18,4667;4,2504;0,4184;23,1355;185,08
1021048;Barbancourt 15 Year Old Reserve du Domaine Rhum;;8;;26/10/2021;1;100;11,1;3,696;0,801;15,597;124,78
1022335;Basil Hayden's Bourbon;;8;;22/11/2021;1;73;11,1;3,696;0,801;15,597;124,78
1006632;Benromach 10 Year Old;;8;;22/12/2021;6;43;11,1;3,696;0,801;15,597;124,78
1023548;Benromach 2009 Peat Smoke;;6;;15/12/2021;1;50;41,5347;3,9732;0,8292;46,3371;278,02
1023616;Bepi Tosolini Smoked Grappa;;6;;20/12/2021;5;45;41,5347;3,9732;0,8292;46,3371;278,02
1022223;Bib & Tucker 6 Year Old Small Batch Bourbon (750ml);;11;;16/12/2020;11;414;23,2224;3,696;0,5044;27,4228;301,65
2100006787;Bladnoch 11 Year Old Scotch Whisky 2020 Release;;4;;22/11/2021;2;73;20,79;3,9732;0,6086;25,3718;101,49
1007534;Bluecoat American Dry Gin;;4;;07/12/2021;2;58;20,79;3,9732;0,6086;25,3718;101,49
1023604;Bordiga Gin Premium Smoke;;4;;03/08/2021;2;184;29,1756;4,2504;0,7281;34,1541;136,62
1007264;Bruichladdich The Classic Laddie Scottish Barley;;4;;12/11/2021;2;83;29,1756;4,2504;0,7281;34,1541;136,62
2100005905;Cambridge Distillery Japanese Gin Tbox;;4;;14/12/2020;2;416;28,291;2,64;0;30,931;123,72
2100005906;Cambridge Distillery Three Seasons Gin Tbox;;4;;26/03/2021;2;314;28,291;2,64;0;30,931;123,72
2100005904;Cambridge Distillery Truffle Gin Tbox;;11;;09/09/2021;1;147;54,6016;4,554;0;59,1556;650,71
