ProductID;Title;Category;Stock;Available;LOT;Pcs;AgeInDays;COGS;Excise;CPU;Total;GrandTotal
2100007099;A.H. Riise 1888 Copenhagen Gold Medal Rum;;6;6;24/01/2022;6;9;18,95;3,696;0,7872;23,4332;140,6
1007337;A.H. Riise XO Christmas Rum 2013;;3;3;28/12/2021;3;36;24,5;3,696;0,3704;28,5664;85,7
1019922;A.H. Riise XO King Haakon Royal Reserve Rum;;4;4;26/10/2021;4;99;25,2;3,8808;0,4837;29,5645;118,26
1016525;Aberlour 12 Year Old Double Cask Matured;;5;5;12/11/2021;3;82;22,51;3,696;0,597;26,803;134,02
1005077;Aberlour 16 Year Old;;5;5;20/12/2021;6;44;22,51;3,696;0,597;26,803;134,02
1023442;Aberlour 18 Year Old Double Cask Matured (500ml);;2;2;28/12/2021;2;36;41;3,9732;0,3704;45,3436;90,69
1021582;Ableforth's Bathtub Gin;;10;10;01/06/2021;1;246;47,795;2,838;0,4428;51,0758;510,76
2100007344;Adamus Vinica 20 Year Old Gin;;10;10;14/12/2021;3;50;47,795;2,838;0,4428;51,0758;510,76
2100007408;Aerstone 10 Year Old Land Cask Whisky;;10;10;28/12/2021;6;36;47,795;2,838;0,4428;51,0758;510,76
2100007407;Aerstone 10 Year Old Sea Cask Whisky;;3;3;26/10/2021;3;99;14,6;4,0009;0,4837;19,0846;57,25
1022807;Aivy Blue Triple Grain Vodka;;1;1;14/12/2021;1;50;42,5;3,8438;0,5145;46,8583;46,86
1018148;Akashi White Oak Blended Japanese Whisky;;6;6;22/12/2021;6;42;14,5;3,696;0,8636;19,0596;114,36
1024471;Akori Cherry Blossom Gin;;5;5;22/12/2021;5;42;14,5;3,696;0,8636;19,0596;95,3
1007930;Alipus San Andres Mezcal;;9;9;31/05/2021;9;247;12,6005;3,696;0;16,2965;146,67
2100006965;Amaro Nonino Quintessentia Liqueur;;11;11;28/12/2021;12;36;14,85;2,64;0,4322;17,9222;197,14
1006483;Amrut Fusion Single Malt Whisky;;1;1;26/08/2021;1;160;13,2;3,696;0,3795;17,2755;17,28
1023087;Amrut Two Indies Rum;;9;9;12/07/2021;9;205;38,34;4,352;0;42,692;384,23
1005321;anCnoc 12 Year Old;;2;2;19/10/2021;2;106;12,4;3,234;0,4423;16,0763;32,15
1019899;Angostura 1824 Premium Rum;;1;1;16/08/2021;1;170;23,95;4,62;0,327;28,897;28,9
2100006673;Angostura 7 Year Old Dark Rum;;9;9;02/12/2021;3;62;12,02;3,9547;0,5678;16,5425;148,88
1012718;Ararat Akhtamar 10 Year Old;;9;9;20/12/2021;6;44;12,02;3,9547;0,5678;16,5425;148,88
2100005928;Ararat Vaspurakan 15 Year Old;;8;8;06/09/2021;2;149;16,4667;3,696;0,5137;20,6764;165,41
1004635;Ardbeg 10 Year Old;;8;8;28/12/2021;6;36;16,4667;3,696;0,5137;20,6764;165,41
1023011;Ardbeg 1975 Gordon and MacPhail;;2;2;06/09/2021;2;149;31,8;3,696;0,8004;36,2964;72,59
1021949;Ardbeg 21 Year Old Committee Only Edition 2016 (Tasting sample);;6;6;02/12/2021;6;62;11,87;3,696;0,5241;16,0901;96,54
1023720;Ardbeg 5 Year Old Wee Beastie;;2;2;14/12/2021;3;50;18,7871;3,696;0,4489;22,932;45,86
1022418;Ardbeg An Oa;;4;4;23/11/2021;1;71;32,9;3,696;0,3976;36,9936;147,97
1005225;Ardbeg Corryvreckan;;4;4;28/12/2021;3;36;32,9;3,696;0,3976;36,9936;147,97
1021623;Ardbeg Galileo (Tasting sample);;11;11;26/10/2021;3;99;27,0429;4,2504;0,6202;31,9135;351,05
1024029;Ardbeg Traigh Bhan 19 Year Old 2020 Edition;;11;11;22/11/2021;6;72;27,0429;4,2504;0,6202;31,9135;351,05
1004346;Ardbeg Uigeadail;;11;11;07/12/2021;6;57;27,0429;4,2504;0,6202;31,9135;351,05
1021948;Ardbeg Uigeadail (Tasting sample);;2;2;12/03/2021;1;327;905,6446;3,696;0;909,3406;1.818,68
1007363;Ardmore Legacy;;2;2;23/06/2021;1;224;905,6446;3,696;0;909,3406;1.818,68
1023805;Arehucas Añejo Reserva Especial 18 Year Old Rum;;1;1;10/04/2017;1;1759;30,8012;0,2733;0;31,0745;31,07
2100007404;Arehucas Club 7 Year Old Rum;;6;6;24/01/2022;6;9;24,7;4,3798;0,7872;29,867;179,2
1024363;Arran Quarter Cask The Bothy;;4;4;07/12/2021;4;57;29,1994;4,3058;0,6319;34,1371;136,55
1000039;Auchentoshan 12 Year Old Whisky;;3;3;14/12/2021;3;50;46,9967;5,276;0,5848;52,8575;158,57
1007397;Auchentoshan American Oak;;1;1;07/11/2016;1;1913;11,0121;0,2911;3,9173;15,2205;15,22
1006281;Auchroisk 10 YO Flora and Fauna;;1;1;25/03/2021;1;314;352,29;4,2689;0;356,5589;356,56
1022392;Aultmore 18 Year Old;;2;2;22/12/2021;2;42;42,25;5,0081;0,8636;48,1217;96,24
2100006959;Averna Amaro;;7;7;10/04/2017;7;1759;2,43;0,3219;0;2,7519;19,26
1024205;Bacoo 11 Year Old Rum;;3;3;12/11/2021;3;82;11,7743;3,696;0,4519;15,9222;47,77
1004173;Bain's Cape Mountain Single Grain Whisky;;1;1;03/01/2022;1;30;27,11;3,696;0,7075;31,5135;31,51
1023179;Ballantine's 17 Year Old 40%;;6;6;22/12/2021;6;42;6,99;3,696;0,8636;11,5496;69,3
1016490;Balvenie Tun 1509 Batch #1 (Tasting sample);;3;3;28/12/2021;3;36;22,85;5,1929;0,3704;28,4133;85,24
1021048;Barbancourt 15 Year Old Reserve du Domaine Rhum;;6;6;06/09/2021;4;149;16,1741;3,696;0,7307;20,6008;123,6
1008438;Barsol Pisco Quebranta;;6;6;22/11/2021;6;72;16,1741;3,696;0,7307;20,6008;123,6
